percentile,reviews_given,scores_given,usefulReviews_given,average_score,stddev_score,average_review_score,stddev_review_score
100.0,0,470,"",7.491489361702127,1.3863990243375193,"",""
97.5,18214,17163620,645786,7.0564942011067595,1.8047090482295918,7.0412869221477985,2.3368754311197875
95.0,10937,11004685,348908,7.291354000591566,1.7272403254165882,7.099661698820517,2.345585449281227
92.5,10076,8939536,206887,7.353726412646026,1.723835203856225,7.253572846367606,2.257672254268843
90.0,7855,7620780,144567,7.381235910234911,1.7209710603053405,7.246339910884787,2.306707159809214
87.5,6759,6806588,143009,7.427820811249337,1.720840926330813,7.208314839473295,2.332291070486251
85.0,6752,5699601,141405,7.438813348513343,1.7215279581608665,7.047245260663507,2.430181306470957
82.5,7010,5565219,104912,7.482091540332914,1.7108792946809073,7.373894436519258,2.2233993003585266
80.0,5970,5283345,89477,7.491064656955016,1.718812750309333,7.1345058626465665,2.419520207650922
77.5,5693,4810578,77950,7.513846984707451,1.7198427042163131,7.126119796240998,2.3965396547182776
75.0,5009,4216313,104883,7.531697006365514,1.7242969087368858,7.340986224795368,2.2829761141346983
72.5,5100,4315853,74441,7.549815760638743,1.7155146154642116,7.363725490196078,2.285826499963661
70.0,4525,3514245,54241,7.579355167326126,1.7126029826709452,7.366408839779005,2.30002566700621
67.5,4969,3581589,74196,7.59159970616394,1.7137839037091451,7.201448983698933,2.38593864423067
65.0,5197,3644236,56266,7.597313401217704,1.7255828897982746,7.236867423513566,2.3739758620714744
62.5,5350,3713822,62369,7.620334523302409,1.7118729521761886,7.336635514018692,2.293427392641674
60.0,3864,2765958,61963,7.643871309687277,1.7074824094140642,7.341873706004141,2.338292521636353
57.5,4142,2695092,50656,7.668822066185496,1.7008640412401066,7.357073877353935,2.3317515689349295
55.0,4371,2682323,63430,7.6747166541837055,1.7064924822831522,7.461679249599634,2.2795645371971083
52.5,4210,2672063,45277,7.6981684189332364,1.7030225956226106,7.391686460807601,2.3142882098608304
50.0,3125,1791028,27941,7.709247984956126,1.7089824905696425,7.30752,2.323230211829532
47.5,4511,2612637,48587,7.740934925135027,1.6981118081490951,7.41188206606074,2.3111953080477994
45.0,3115,1686983,28838,7.754906243868492,1.698820030108797,7.323916532905297,2.3541712128998373
42.5,4564,2407686,43731,7.780821917808219,1.6985593250036983,7.342681858019281,2.380248071962285
40.0,2953,1552715,28802,7.811029068438187,1.692248063087247,7.359972908906197,2.3996350217789804
37.5,3063,1462875,32620,7.827573100914296,1.704495740066192,7.410708455762324,2.4047721417573786
35.0,4692,2105158,43615,7.849257395406901,1.7024347192066747,7.328218243819267,2.4075550764798757
32.5,3070,1298609,29363,7.868600171414182,1.6991849518823774,7.423778501628664,2.3513245900807167
30.0,2975,1225355,21993,7.9079858489988615,1.6848231372830447,7.471596638655462,2.316380509999101
27.5,3259,1147432,33175,7.9243423575427565,1.686465475660685,7.572261429886468,2.2749693859381317
25.0,3769,1022477,30304,7.94876755173955,1.6931638886314244,7.142478110904749,2.3733575868915913
22.5,3016,922799,30848,7.985748792532285,1.6887768207518516,7.451923076923077,2.3680452047191403
20.0,2955,815654,23564,8.025807511518364,1.685979928738722,7.375296108291032,2.433321813774831
17.5,3041,710998,28395,8.053856691580004,1.692807784303938,7.49654718842486,2.301473622992113
15.0,2909,594512,20585,8.11605653039804,1.6886411599729327,7.526985218288072,2.2732167354043815
12.5,2758,475351,19339,8.200418217275235,1.678972571009101,7.625090645395214,2.278277649613055
10.0,2738,349599,20556,8.268253055643752,1.6972734576701867,7.543097151205259,2.38275795108815
7.5,3490,234858,21939,8.358471927718025,1.74453975801916,7.545558739255014,2.382778096886518
5.0,2470,68002,19911,8.498220640569395,1.8273612663535586,7.517004048582996,2.4903853862804195
2.5,2994,35904,29976,9.235154857397504,1.6610674664908134,7.280895123580494,2.668996815852354
